報道発表品目名,１．食料品,２．原料品,３．鉱物性燃料,４．化学製品,５．原料別製品,６．一般機械,７．電気機器,８．輸送用機器,９．その他
2009/06,29970930,72955049,89852508,499978888,589945381,757153143,918137419,1041410639,595005696
2009/07,32430215,74260691,100180155,530165671,610698209,796816612,990253603,1118846908,589348484
2009/08,27153572,71173435,109372099,511971515,591725243,749309419,952007323,913691069,583400440
2009/09,29250023,74430472,116394942,532612359,630935669,832198425,1053033520,1183875648,656654466
2009/10,36983286,68752230,78694102,554208021,680306380,891061996,1082500604,1215849572,699962534
2009/11,34053886,63605008,75617330,508694764,615398094,874737603,987206139,1197418481,631431599
2009/12,41766334,80097487,79489476,568870560,705559429,1007369192,1039515959,1191998296,697011473
2010/01,34500967,79150338,72100126,550681676,637725682,818706361,914614065,1174033781,619375352
2010/02,28609884,81143133,77195559,553649682,657205065,969363152,928841959,1241124652,590014268
2010/03,34543214,83978641,80218364,608899081,774524220,1201372073,1112031476,1427839667,677017361
2010/04,36654113,93527421,102560519,617785442,750966256,1155860328,1104699574,1335051252,692639106
2010/05,30630621,79035534,93377930,569689049,752330753,1024143520,1016601661,1105002641,637792633
2010/06,30232220,75903353,66298392,577108881,799902373,1131586945,1105059096,1391775693,689352973
2010/07,31287369,68805631,101648116,598538405,767025509,1219318663,1154435551,1352715478,688130379
2010/08,29025659,73784353,129053213,546001980,710548307,1057918453,1012031623,1008861399,642532001
2010/09,30911446,71219013,112432532,550027715,726029757,1156101525,1123063485,1377064366,692785140
2010/10,38886706,76014389,85701899,565821714,725921970,1167915804,1107832807,1266003827,688397280
2010/11,35330806,73469631,78860155,551803391,701392648,1112169211,979849466,1225848032,681080944
2010/12,45502421,90116004,105530477,635259102,781232567,1302179355,1091391436,1352815271,707974237
2011/01,29809865,69771572,104196173,552805784,645825790,976168309,845738409,1176041097,569775454
2011/02,32583453,91398918,99428138,610999030,734443327,1194104224,959096283,1276164959,590802852
2011/03,36086333,89924386,101635778,649175099,826492515,1283929981,1044256211,1155250727,671766119
2011/04,28269375,81681882,55311275,667217466,762928001,1173578146,966352508,758073813,663235516
2011/05,23815597,69811898,93807370,538624032,713981998,1062478884,848440013,810666293,597671222
2011/06,29437751,83526673,123336878,550764902,773835866,1255779619,1008910965,1245009894,704010621
2011/07,27415467,81683346,138384788,559869528,757513133,1235610062,1059378452,1245500018,676408070
2011/08,26218077,82358404,139784930,547160259,725860337,1084182782,962572721,1087036078,700507342
2011/09,27025089,83286768,121547451,542436974,736179890,1149549892,1077921805,1447231009,788639892
2011/10,27550621,74032758,120218643,550357655,722365952,1102237095,971696473,1263372366,675096122
2011/11,31991372,78746582,76375228,482318121,668376267,1066431482,874679005,1273745722,643509652
2011/12,38852859,85358587,73039374,546294408,718342699,1219247659,981032533,1295324301,666389604
2012/01,21850058,68877625,68883243,455942583,575693359,891584163,760838135,1162207381,507787506
2012/02,27737555,89013213,61103255,520023503,687631482,1177135985,926566101,1348296585,605116807
2012/03,31496554,101109957,82903115,594692221,825375558,1342205125,1107900770,1449336532,668374043
2012/04,31047247,91363209,82633719,559375319,723170709,1145187806,952833538,1378957308,600329418
2012/05,27200456,97727691,104563358,525364649,757532572,1042465563,896028081,1225041397,560934059
2012/06,29837192,90247825,94236614,526177176,750903822,1127084055,1012600976,1409715269,601043759
2012/07,27496808,82608649,104089217,513438855,716894175,1068987523,961247628,1261590083,575857836
